,Cell Type 1,Cell Type 2,num_interactions
128,Pvalb-MET-3,Sst-MET-8,678
129,Sst-MET-8,Pvalb-MET-3,678
130,Pvalb-MET-3,Sst-MET-9,436
131,Sst-MET-9,Pvalb-MET-3,436
132,Pvalb-MET-3,Vip-MET-1,43
133,Vip-MET-1,Pvalb-MET-3,43
134,Pvalb-MET-3,Vip-MET-2,342
135,Vip-MET-2,Pvalb-MET-3,342
136,Pvalb-MET-3,Vip-MET-4,595
137,Vip-MET-4,Pvalb-MET-3,595
138,Pvalb-MET-3,Vip-MET-5,79
139,Vip-MET-5,Pvalb-MET-3,79
140,Pvalb-MET-4,Pvalb-MET-4,19811
141,Pvalb-MET-4,Pvalb-MET-4,19811
142,Pvalb-MET-4,Sncg-MET-1,1188
143,Sncg-MET-1,Pvalb-MET-4,1188
144,Pvalb-MET-4,Sst-MET-1,406
145,Sst-MET-1,Pvalb-MET-4,406
146,Pvalb-MET-4,Sst-MET-10,1534
147,Sst-MET-10,Pvalb-MET-4,1534
148,Pvalb-MET-4,Sst-MET-12,4228
149,Sst-MET-12,Pvalb-MET-4,4228
150,Pvalb-MET-4,Sst-MET-3,19861
151,Sst-MET-3,Pvalb-MET-4,19861
152,Pvalb-MET-4,Sst-MET-4,3747
153,Sst-MET-4,Pvalb-MET-4,3747
154,Pvalb-MET-4,Sst-MET-5,129
155,Sst-MET-5,Pvalb-MET-4,129
156,Pvalb-MET-4,Sst-MET-6,2109
157,Sst-MET-6,Pvalb-MET-4,2109
158,Pvalb-MET-4,Sst-MET-7,517
159,Sst-MET-7,Pvalb-MET-4,517
160,Pvalb-MET-4,Sst-MET-8,15393
161,Sst-MET-8,Pvalb-MET-4,15393
162,Pvalb-MET-4,Sst-MET-9,2694
163,Sst-MET-9,Pvalb-MET-4,2694
164,Pvalb-MET-4,Vip-MET-1,5683
165,Vip-MET-1,Pvalb-MET-4,5683
166,Pvalb-MET-4,Vip-MET-2,6078
167,Vip-MET-2,Pvalb-MET-4,6078
168,Pvalb-MET-4,Vip-MET-4,5208
169,Vip-MET-4,Pvalb-MET-4,5208
170,Pvalb-MET-4,Vip-MET-5,3120
171,Vip-MET-5,Pvalb-MET-4,3120
172,Sncg-MET-1,Sst-MET-1,98
173,Sst-MET-1,Sncg-MET-1,98
174,Sncg-MET-1,Sst-MET-10,564
175,Sst-MET-10,Sncg-MET-1,564
176,Sncg-MET-1,Sst-MET-12,1381
177,Sst-MET-12,Sncg-MET-1,1381
178,Sncg-MET-1,Sst-MET-3,889
179,Sst-MET-3,Sncg-MET-1,889
180,Sncg-MET-1,Sst-MET-4,419
181,Sst-MET-4,Sncg-MET-1,419
182,Sncg-MET-1,Sst-MET-5,183
183,Sst-MET-5,Sncg-MET-1,183
184,Sncg-MET-1,Sst-MET-6,978
185,Sst-MET-6,Sncg-MET-1,978
186,Sncg-MET-1,Sst-MET-7,41
187,Sst-MET-7,Sncg-MET-1,41
188,Sncg-MET-1,Sst-MET-8,933
189,Sst-MET-8,Sncg-MET-1,933
190,Sncg-MET-1,Sst-MET-9,458
191,Sst-MET-9,Sncg-MET-1,458
192,Sncg-MET-1,Vip-MET-1,93
193,Vip-MET-1,Sncg-MET-1,93
194,Sncg-MET-1,Vip-MET-2,240
195,Vip-MET-2,Sncg-MET-1,240
196,Sncg-MET-1,Vip-MET-4,634
197,Vip-MET-4,Sncg-MET-1,634
198,Sncg-MET-1,Vip-MET-5,34
199,Vip-MET-5,Sncg-MET-1,34
200,Sst-MET-1,Sst-MET-1,109
201,Sst-MET-1,Sst-MET-1,109
202,Sst-MET-1,Sst-MET-10,1079
203,Sst-MET-10,Sst-MET-1,1079
204,Sst-MET-1,Sst-MET-12,2264
205,Sst-MET-12,Sst-MET-1,2264
206,Sst-MET-1,Sst-MET-3,311
207,Sst-MET-3,Sst-MET-1,311
208,Sst-MET-1,Sst-MET-4,413
209,Sst-MET-4,Sst-MET-1,413
210,Sst-MET-1,Sst-MET-5,70
211,Sst-MET-5,Sst-MET-1,70
212,Sst-MET-1,Sst-MET-6,590
213,Sst-MET-6,Sst-MET-1,590
214,Sst-MET-1,Sst-MET-7,97
215,Sst-MET-7,Sst-MET-1,97
216,Sst-MET-1,Sst-MET-8,332
217,Sst-MET-8,Sst-MET-1,332
218,Sst-MET-1,Sst-MET-9,947
219,Sst-MET-9,Sst-MET-1,947
220,Sst-MET-1,Vip-MET-1,13
221,Vip-MET-1,Sst-MET-1,13
222,Sst-MET-1,Vip-MET-2,124
223,Vip-MET-2,Sst-MET-1,124
224,Sst-MET-1,Vip-MET-4,380
225,Vip-MET-4,Sst-MET-1,380
226,Sst-MET-1,Vip-MET-5,23
227,Vip-MET-5,Sst-MET-1,23
228,Sst-MET-10,Sst-MET-10,946
229,Sst-MET-10,Sst-MET-10,946
230,Sst-MET-10,Sst-MET-12,6492
231,Sst-MET-12,Sst-MET-10,6492
232,Sst-MET-10,Sst-MET-3,953
233,Sst-MET-3,Sst-MET-10,953
234,Sst-MET-10,Sst-MET-4,1063
235,Sst-MET-4,Sst-MET-10,1063
236,Sst-MET-10,Sst-MET-5,352
237,Sst-MET-5,Sst-MET-10,352
238,Sst-MET-10,Sst-MET-6,3499
239,Sst-MET-6,Sst-MET-10,3499
240,Sst-MET-10,Sst-MET-7,356
241,Sst-MET-7,Sst-MET-10,356
242,Sst-MET-10,Sst-MET-8,835
243,Sst-MET-8,Sst-MET-10,835
244,Sst-MET-10,Sst-MET-9,2184
245,Sst-MET-9,Sst-MET-10,2184
246,Sst-MET-10,Vip-MET-2,645
247,Vip-MET-2,Sst-MET-10,645
248,Sst-MET-10,Vip-MET-4,2005
249,Vip-MET-4,Sst-MET-10,2005
250,Sst-MET-10,Vip-MET-5,133
