,id,predicted_MET-type Label,probability
0,252232,Lamp5-MET-1,1.0
1,255120,Lamp5-MET-1,1.0
2,255129,Lamp5-MET-1,1.0
3,255137,Lamp5-MET-1,1.0
4,255208,Lamp5-MET-1,1.0
5,255218,Lamp5-MET-1,1.0
6,256424,Lamp5-MET-1,1.0
7,256426,Vip-MET-1,0.9523809523809523
8,256446,Sst-MET-3,0.9904761904761905
9,256514,Lamp5-MET-1,1.0
10,256543,Lamp5-MET-1,0.9904761904761905
11,256622,Pvalb-MET-4,0.7619047619047619
12,258234,Pvalb-MET-4,1.0
13,258249,Lamp5-MET-1,1.0
14,258281,Vip-MET-2,0.7142857142857143
15,258292,Pvalb-MET-4,1.0
16,258293,Vip-MET-2,0.7428571428571429
17,258362,Vip-MET-5,0.819047619047619
18,258365,Lamp5-MET-1,0.6952380952380952
19,258379,Vip-MET-1,0.7333333333333333
20,260468,Vip-MET-1,0.8666666666666667
21,260505,Sst-MET-3,1.0
22,260519,Pvalb-MET-4,0.9904761904761905
23,260541,Sst-MET-3,1.0
24,260609,Lamp5-MET-1,0.7523809523809524
25,260620,Lamp5-MET-1,0.4666666666666667
26,260622,Sst-MET-3,1.0
27,260707,Lamp5-MET-1,0.6857142857142857
28,260718,Lamp5-MET-1,0.47619047619047616
29,260724,Vip-MET-2,0.9809523809523809
30,260803,Pvalb-MET-4,0.8476190476190476
31,262555,Pvalb-MET-4,0.8476190476190476
32,262642,Vip-MET-4,0.5238095238095238
33,262678,Sst-MET-3,0.9904761904761905
34,262692,Vip-MET-4,0.8571428571428571
35,262779,Lamp5-MET-1,1.0
